geoid,stCode,coCode,geography,planningArea,PL_FIPS,MCD2,year,population
4209144912,42,91,Lower Frederick Township,Rural Area,44912,44912,1990,3396
4209144920,42,91,Lower Gwynedd Township,Developed Community,44920,44920,1990,9958
4201744968,42,17,Lower Makefield Township,Developed Community,44968,44968,1990,25083
4209144976,42,91,Lower Merion Township,Developed Community,44976,44976,1990,58003
4209145008,42,91,Lower Moreland Township,Developed Community,45008,45008,1990,11768
4202945040,42,29,Lower Oxford Township,Rural Area,45040,45040,1990,3264
4209145072,42,91,Lower Pottsgrove Township,Growing Suburb,45072,45072,1990,8808
4209145080,42,91,Lower Providence Township,Growing Suburb,45080,45080,1990,19351
4209145096,42,91,Lower Salford Township,Growing Suburb,45096,45096,1990,10735
4201745112,42,17,Lower Southampton Township,Developed Community,45112,45112,1990,19860
3400542060,34,5,Lumberton Township,Growing Suburb,42060,42060,1990,6705
3400742630,34,7,Magnolia Borough,Developed Community,42630,42630,1990,4861
4202946792,42,29,Malvern Borough,Developed Community,46792,46792,1990,2944
3400543290,34,5,Mansfield Township,Rural Area,43290,43290,1990,3874
3401543440,34,15,Mantua Township,Growing Suburb,43440,43440,1990,10074
3400543740,34,5,Maple Shade Township,Developed Community,43740,43740,1990,19211
4204547344,42,45,Marcus Hook Borough,Developed Community,47344,47344,1990,2546
4209147592,42,91,Marlborough Township,Rural Area,47592,47592,1990,3116
4204547616,42,45,Marple Township,Developed Community,47616,47616,1990,23123
3400545210,34,5,Medford Lakes Borough,Developed Community,45210,45210,1990,4462
3400545120,34,5,Medford Township,Growing Suburb,45120,45120,1990,20526
4204548480,42,45,Media Borough,Developed Community,48480,48480,1990,5957
3400745510,34,7,Merchantville Borough,Developed Community,45510,45510,1990,4095
4201749120,42,17,Middletown Township,Developed Community,49120,49120,1990,43063
4204549136,42,45,Middletown Township,Developed Community,49136,49136,1990,14130
4201749384,42,17,Milford Township,Rural Area,49384,49384,1990,7360
4204549504,42,45,Millbourne Borough,Developed Community,49504,49504,1990,831
4202950232,42,29,Modena Borough,Developed Community,50232,50232,1990,563
3401547250,34,15,Monroe Township,Growing Suburb,47250,47250,1990,26703
4209150640,42,91,Montgomery Township,Growing Suburb,50640,50640,1990,12179
3400547880,34,5,Moorestown Township,Developed Community,47880,47880,1990,16116
4201751144,42,17,Morrisville Borough,Developed Community,51144,51144,1990,9765
4204551176,42,45,Morton Borough,Developed Community,51176,51176,1990,2851
3400748750,34,7,Mount Ephraim Borough,Developed Community,48750,48750,1990,4517
3400548900,34,5,Mount Holly Township,Developed Community,48900,48900,1990,10639
3400549020,34,5,Mount Laurel Township,Developed Community,49020,49020,1990,30270
4209152664,42,91,Narberth Borough,Developed Community,52664,52664,1990,4278
3401549680,34,15,National Park Borough,Developed Community,49680,49680,1990,3413
4204553104,42,45,Nether Providence Township,Developed Community,53104,53104,1990,13229
4201753296,42,17,New Britain Borough,Developed Community,53296,53296,1990,2174
4201753304,42,17,New Britain Township,Growing Suburb,53304,53304,1990,9099
4202953608,42,29,New Garden Township,Growing Suburb,53608,53608,1990,5430
3400551510,34,5,New Hanover Township,Developed Community,51510,51510,1990,9546
4209153664,42,91,New Hanover Township,Rural Area,53664,53664,1990,5956
4201753712,42,17,New Hope Borough,Developed Community,53712,53712,1990,1400
4202953816,42,29,New London Township,Rural Area,53816,53816,1990,2721
3401551390,34,15,Newfield Borough,Developed Community,51390,51390,1990,1592
4202953784,42,29,Newlin Township,Rural Area,53784,53784,1990,1092
4201754184,42,17,Newtown Borough,Developed Community,54184,54184,1990,2565
4201754192,42,17,Newtown Township,Growing Suburb,54192,54192,1990,13685
4204554224,42,45,Newtown Township,Growing Suburb,54224,54224,1990,11366
4201754576,42,17,Nockamixon Township,Rural Area,54576,54576,1990,3329
4209154656,42,91,Norristown Borough,Developed Community,54656,54656,1990,30749
4202954936,42,29,North Coventry Township,Growing Suburb,54936,54936,1990,7506
3400553070,34,5,North Hanover Township,Rural Area,53070,53070,1990,9994
4209155512,42,91,North Wales Borough,Developed Community,55512,55512,1990,3802
4201754688,42,17,Northampton Township,Developed Community,54688,54688,1990,35406
4204555664,42,45,Norwood Borough,Developed Community,55664,55664,1990,6162
3400753880,34,7,Oaklyn Borough,Developed Community,53880,53880,1990,4430
4202957480,42,29,Oxford Borough,Developed Community,57480,57480,1990,3769
3400555800,34,5,Palmyra Borough,Developed Community,55800,55800,1990,7056
4202958032,42,29,Parkesburg Borough,Developed Community,58032,58032,1990,2981
4204558176,42,45,Parkside Borough,Developed Community,58176,58176,1990,2369
3401557150,34,15,Paulsboro Borough,Developed Community,57150,57150,1990,6577
3400557480,34,5,Pemberton Borough,Developed Community,57480,57480,1990,1367
3400557510,34,5,Pemberton Township,Rural Area,57510,57510,1990,31342
4202958808,42,29,Penn Township,Growing Suburb,58808,58808,1990,2257
4201758936,42,17,Penndel Borough,Developed Community,58936,58936,1990,2703
3402157600,34,21,Pennington Borough,Developed Community,57600,57600,1990,2537
3400757660,34,7,Pennsauken Township,Developed Community,57660,57660,1990,34738
4209159120,42,91,Pennsburg Borough,Developed Community,59120,59120,1990,2460
4202959136,42,29,Pennsbury Township,Growing Suburb,59136,59136,1990,3326
4201759384,42,17,Perkasie Borough,Developed Community,59384,59384,1990,7878
4209159392,42,91,Perkiomen Township,Growing Suburb,59392,59392,1990,3200
4210160000,42,101,Philadelphia,Core City,60000,60000,1990,1585577
4202960120,42,29,Phoenixville Borough,Developed Community,60120,60120,1990,15066
3400758770,34,7,Pine Hill Borough,Developed Community,58770,58770,1990,9854
3400758920,34,7,Pine Valley Borough,Developed Community,58920,58920,1990,19
3401559070,34,15,Pitman Borough,Developed Community,59070,59070,1990,9365
4201761616,42,17,Plumstead Township,Growing Suburb,61616,61616,1990,6289
4209161664,42,91,Plymouth Township,Developed Community,61664,61664,1990,15958
4202961800,42,29,Pocopson Township,Growing Suburb,61800,61800,1990,3266
4209162416,42,91,Pottstown Borough,Developed Community,62416,62416,1990,21831
3402160900,34,21,Princeton Borough,Developed Community,60900,60900,1990,25214
4204562792,42,45,Prospect Park Borough,Developed Community,62792,62792,1990,6764
4201763048,42,17,Quakertown Borough,Developed Community,63048,63048,1990,8982
4204563264,42,45,Radnor Township,Developed Community,63264,63264,1990,28703
4209163808,42,91,Red Hill Borough,Developed Community,63808,63808,1990,1794
4201764536,42,17,Richland Township,Growing Suburb,64536,64536,1990,8560
4201764584,42,17,Richlandtown Borough,Developed Community,64584,64584,1990,1195
4204564832,42,45,Ridley Park Borough,Developed Community,64832,64832,1990,7592
4204564800,42,45,Ridley Township,Developed Community,64800,64800,1990,31169
4201764856,42,17,Riegelsville Borough,Developed Community,64856,64856,1990,912
3400563510,34,5,Riverside Township,Developed Community,63510,63510,1990,7974
3400563660,34,5,Riverton Borough,Developed Community,63660,63660,1990,2775
3402163850,34,21,Robbinsville Township,Growing Suburb,77210,63850,1990,5815
4209165568,42,91,Rockledge Borough,Developed Community,65568,65568,1990,2679
4204566192,42,45,Rose Valley Borough,Developed Community,66192,66192,1990,982
4209166576,42,91,Royersford Borough,Developed Community,66576,66576,1990,4458
3400765160,34,7,Runnemede Borough,Developed Community,65160,65160,1990,9042
4204566928,42,45,Rutledge Borough,Developed Community,66928,66928,1990,843
4202967080,42,29,Sadsbury Township,Rural Area,67080,67080,1990,2510
4209167528,42,91,Salford Township,Rural Area,67528,67528,1990,2216
4202968288,42,29,Schuylkill Township,Growing Suburb,68288,68288,1990,5538
4209168328,42,91,Schwenksville Borough,Developed Community,68328,68328,1990,1326
4201769248,42,17,Sellersville Borough,Developed Community,69248,69248,1990,4479
3400566810,34,5,Shamong Township,Rural Area,66810,66810,1990,5765
4204569752,42,45,Sharon Hill Borough,Developed Community,69752,69752,1990,5771
4201770744,42,17,Silverdale Borough,Developed Community,70744,70744,1990,881
4209171016,42,91,Skippack Township,Growing Suburb,71016,71016,1990,8790
4201771752,42,17,Solebury Township,Rural Area,71752,71752,1990,5998
3400768340,34,7,Somerdale Borough,Developed Community,68340,68340,1990,5440
4209171856,42,91,Souderton Borough,Developed Community,71856,71856,1990,5957
4202972072,42,29,South Coatesville Borough,Developed Community,72072,72072,1990,1026
4202972088,42,29,South Coventry Township,Rural Area,72088,72088,1990,1682
3401569030,34,15,South Harrison Township,Rural Area,69030,69030,1990,1919
3400568610,34,5,Southampton Township,Rural Area,68610,68610,1990,10202
4202972920,42,29,Spring City Borough,Developed Community,72920,72920,1990,3433
4204573032,42,45,Springfield Township,Developed Community,73032,73032,1990,24160
4209173088,42,91,Springfield Township,Developed Community,73088,73088,1990,19612
3400569990,34,5,Springfield Township,Rural Area,69990,69990,1990,3028
4201773016,42,17,Springfield Township,Rural Area,73016,73016,1990,5177
3400771220,34,7,Stratford Borough,Developed Community,71220,71220,1990,7614
4204575648,42,45,Swarthmore Borough,Developed Community,75648,75648,1990,6157
3401571850,34,15,Swedesboro Borough,Developed Community,71850,71850,1990,2024
3400572060,34,5,Tabernacle Township,Rural Area,72060,72060,1990,7360
3400772240,34,7,Tavistock Borough,Developed Community,72240,72240,1990,35
4201776304,42,17,Telford Borough,Developed Community,76304,76304,1990,1673
4209176304,42,91,Telford Borough,Developed Community,76304,76304,1990,2565
4202976568,42,29,Thornbury Township,Growing Suburb,76568,76568,1990,1131
4204576576,42,45,Thornbury Township,Growing Suburb,76576,76576,1990,5056
4204576792,42,45,Tinicum Township,Developed Community,76792,76792,1990,4440
4201776784,42,17,Tinicum Township,Rural Area,76784,76784,1990,4167
4209177152,42,91,Towamencin Township,Growing Suburb,77152,77152,1990,14167
4204577288,42,45,Trainer Borough,Developed Community,77288,77288,1990,2271
4209177304,42,91,Trappe Borough,Developed Community,77304,77304,1990,2115
4202977344,42,29,Tredyffrin Township,Growing Suburb,77344,77344,1990,28028
3402174000,34,21,Trenton City,Core City,74000,74000,1990,88675
4201777704,42,17,Trumbauersville Borough,Developed Community,77704,77704,1990,894
4201777744,42,17,Tullytown Borough,Developed Community,77744,77744,1990,2339
4204578712,42,45,Upland Borough,Developed Community,78712,78712,1990,3334
4204578776,42,45,Upper Chichester Township,Developed Community,78776,78776,1990,15004
4204579000,42,45,Upper Darby Township,Developed Community,79000,79000,1990,81177
4209179008,42,91,Upper Dublin Township,Developed Community,79008,79008,1990,24028
4209179040,42,91,Upper Frederick Township,Rural Area,79040,79040,1990,2165
4209179056,42,91,Upper Gwynedd Township,Developed Community,79056,79056,1990,12197
4209179064,42,91,Upper Hanover Township,Rural Area,79064,79064,1990,4604
4201779128,42,17,Upper Makefield Township,Rural Area,79128,79128,1990,5949
4209179136,42,91,Upper Merion Township,Developed Community,79136,79136,1990,25722
4209179176,42,91,Upper Moreland Township,Developed Community,79176,79176,1990,25313
4202979208,42,29,Upper Oxford Township,Rural Area,79208,79208,1990,1615
4209179240,42,91,Upper Pottsgrove Township,Growing Suburb,79240,79240,1990,3315
4204579248,42,45,Upper Providence Township,Developed Community,79248,79248,1990,9727
4209179256,42,91,Upper Providence Township,Growing Suburb,79256,79256,1990,9682
4209179280,42,91,Upper Salford Township,Rural Area,79280,79280,1990,2719
4201779296,42,17,Upper Southampton Township,Developed Community,79296,79296,1990,16076
4202979352,42,29,Upper Uwchlan Township,Growing Suburb,79352,79352,1990,4396
4202979480,42,29,Uwchlan Township,Growing Suburb,79480,79480,1990,12999
4202979544,42,29,Valley Township,Growing Suburb,79544,79544,1990,4007
3400776220,34,7,Voorhees Township,Developed Community,76220,76220,1990,24559
4202980616,42,29,Wallace Township,Rural Area,80616,80616,1990,2541
4201780952,42,17,Warminster Township,Developed Community,80952,80952,1990,32832
4201781048,42,17,Warrington Township,Growing Suburb,81144,81048,1990,12169
4201781144,42,17,Warwick Township,Growing Suburb,83960,81144,1990,5915
4202981160,42,29,Warwick Township,Rural Area,81160,81160,1990,2575
3401577180,34,15,Washington Township,Developed Community,77180,77180,1990,41960
3400577150,34,5,Washington Township,Rural Area,77150,77150,1990,805
3400777630,34,7,Waterford Township,Rural Area,77630,77630,1990,10940
3401578110,34,15,Wenonah Borough,Developed Community,78110,78110,1990,2331
4202982544,42,29,West Bradford Township,Growing Suburb,82544,82544,1990,10406
4202982576,42,29,West Brandywine Township,Growing Suburb,82576,82576,1990,5984
4202982664,42,29,West Caln Township,Rural Area,82664,82664,1990,6143
4202982704,42,29,West Chester Borough,Developed Community,82704,82704,1990,18041
4209182736,42,91,West Conshohocken Borough,Developed Community,82736,82736,1990,1294
3401578800,34,15,West Deptford Township,Developed Community,78800,78800,1990,19380
4202982936,42,29,West Fallowfield Township,Rural Area,82936,82936,1990,2342
4202983080,42,29,West Goshen Township,Growing Suburb,83080,83080,1990,18082
4202983104,42,29,West Grove Borough,Developed Community,83104,83104,1990,2128
4202983464,42,29,West Marlborough Township,Rural Area,83464,83464,1990,874
4202983664,42,29,West Nantmeal Township,Rural Area,83664,83664,1990,1958
4209183696,42,91,West Norriton Township,Developed Community,83696,83696,1990,15209
4202983712,42,29,West Nottingham Township,Rural Area,83712,83712,1990,2183
4202983832,42,29,West Pikeland Township,Growing Suburb,83832,83832,1990,2323
4209183912,42,91,West Pottsgrove Township,Developed Community,83912,83912,1990,3829
4201783960,42,17,West Rockhill Township,Rural Area,83960,83960,1990,4518
4202983968,42,29,West Sadsbury Township,Rural Area,83968,83968,1990,2160
4202984160,42,29,West Vincent Township,Rural Area,84160,84160,1990,2262
4202984192,42,29,West Whiteland Township,Growing Suburb,84192,84192,1990,12403
3402180240,34,21,West Windsor Township,Developed Community,80240,80240,1990,16021
3400578200,34,5,Westampton Township,Growing Suburb,78200,78200,1990,6004
4202984104,42,29,Westtown Township,Growing Suburb,84104,84104,1990,9937
3401580120,34,15,Westville Borough,Developed Community,80120,80120,1990,4573
4209184624,42,91,Whitemarsh Township,Developed Community,84624,84624,1990,14863
4209184888,42,91,Whitpain Township,Developed Community,84888,84888,1990,15673
3400581440,34,5,Willingboro Township,Developed Community,81440,81440,1990,36291
4202985352,42,29,Willistown Township,Growing Suburb,85352,85352,1990,9380
3400781740,34,7,Winslow Township,Growing Suburb,81740,81740,1990,30087
3401582120,34,15,Woodbury City,Developed Community,82120,82120,1990,10904
3401582180,34,15,Woodbury Heights Borough,Developed Community,82180,82180,1990,3392
3400582420,34,5,Woodland Township,Rural Area,82420,82420,1990,2063
3400782450,34,7,Woodlynne Borough,Developed Community,82450,82450,1990,2547
3401582840,34,15,Woolwich Township,Growing Suburb,82840,82840,1990,1459
4209186496,42,91,Worcester Township,Growing Suburb,86496,86496,1990,4686
3400582960,34,5,Wrightstown Borough,Developed Community,82960,82960,1990,3843
4201786624,42,17,Wrightstown Township,Rural Area,86624,86624,1990,2426
4201786920,42,17,Yardley Borough,Developed Community,86920,86920,1990,2288
4204586968,42,45,Yeadon Borough,Developed Community,86968,86968,1990,11980
4209100156,42,91,Abington Township,Developed Community,156,156,2010,55310
4204500676,42,45,Aldan Borough,Developed Community,676,676,2010,4152
4209102264,42,91,Ambler Borough,Developed Community,2264,2264,2010,6417
4204503336,42,45,Aston Township,Developed Community,3336,3336,2010,16592
4202903384,42,29,Atglen Borough,Developed Community,3384,3384,2010,1406
3400702200,34,7,Audubon Borough,Developed Community,2200,2200,2010,8819
3400702230,34,7,Audubon Park Borough,Developed Community,2230,2230,2010,1023
4202903656,42,29,Avondale Borough,Developed Community,3656,3656,2010,1265
3400703250,34,7,Barrington Borough,Developed Community,3250,3250,2010,6983
3400503370,34,5,Bass River Township,Rural Area,3370,3370,2010,1443
4201704976,42,17,Bedminster Township,Rural Area,4976,4976,2010,6574
3400704750,34,7,Bellmawr Borough,Developed Community,4750,4750,2010,11583
4201705616,42,17,Bensalem Township,Developed Community,5616,5616,2010,60427
3400705440,34,7,Berlin Borough,Developed Community,5440,5440,2010,7588
3400705470,34,7,Berlin Township,Developed Community,5470,5470,2010,5357
4204506024,42,45,Bethel Township,Growing Suburb,6024,6024,2010,8791
3400505740,34,5,Beverly City,Developed Community,5740,5740,2010,2577
4202906544,42,29,Birmingham Township,Growing Suburb,6544,6544,2010,4208
3400506670,34,5,Bordentown City,Developed Community,6670,6670,2010,3924
3400506700,34,5,Bordentown Township,Growing Suburb,6700,6700,2010,11367
4209108568,42,91,Bridgeport Borough,Developed Community,8568,8568,2010,4554
4201708592,42,17,Bridgeton Township,Rural Area,8592,8592,2010,1277
4201708760,42,17,Bristol Borough,Developed Community,8760,8760,2010,9726
4201708768,42,17,Bristol Township,Developed Community,8768,8768,2010,54582
4204509080,42,45,Brookhaven Borough,Developed Community,9080,9080,2010,8006
3400708170,34,7,Brooklawn Borough,Developed Community,8170,8170,2010,1955
4209109696,42,91,Bryn Athyn Borough,Developed Community,9696,9696,2010,1375
4201709816,42,17,Buckingham Township,Growing Suburb,9816,9816,2010,20075
3400508920,34,5,Burlington City,Developed Community,8920,8920,2010,9920
3400508950,34,5,Burlington Township,Growing Suburb,8950,8950,2010,22594
4202910824,42,29,Caln Township,Growing Suburb,10824,10824,2010,13817
3400710000,34,7,Camden City,Core City,10000,10000,2010,77344
4204512442,42,45,Chadds Ford Township,Growing Suburb,12442,12442,2010,3640
4201712504,42,17,Chalfont Borough,Developed Community,12504,12504,2010,4009
4202912744,42,29,Charlestown Township,Growing Suburb,12744,12744,2010,5671
4209112968,42,91,Cheltenham Township,Developed Community,12968,12968,2010,36793
3400712280,34,7,Cherry Hill Township,Developed Community,12280,12280,2010,71045
