SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
162,34,000,07750,00000,00000,0,A,Brielle borough,New Jersey,4774,4755,4757,4755,4763,4743,4732,4707,4698,4694,4691
162,34,000,07810,00000,00000,0,A,Brigantine city,New Jersey,9450,9450,9446,9421,9399,9333,9199,9076,8937,8842,8765
162,34,000,08170,00000,00000,0,A,Brooklawn borough,New Jersey,1955,1948,1947,1942,1937,1925,1917,1913,1914,1911,1912
162,34,000,08680,00000,00000,0,A,Buena borough,New Jersey,4603,4603,4604,4589,4576,4548,4510,4471,4407,4371,4347
162,34,000,08920,00000,00000,0,A,Burlington city,New Jersey,9920,9937,9941,9918,9912,9860,9822,9767,9822,9782,9884
162,34,000,09040,00000,00000,0,A,Butler borough,New Jersey,7539,7650,7665,7705,7713,7726,7732,7731,7706,7684,7650
162,34,000,09250,00000,00000,0,A,Caldwell borough,New Jersey,7822,7894,7896,7937,7921,7925,7937,7959,7982,7976,7970
162,34,000,09280,00000,00000,0,A,Califon borough,New Jersey,1076,1071,1070,1092,1084,1081,1074,1074,1060,1063,1057
162,34,000,10000,00000,00000,0,A,Camden city,New Jersey,77344,77043,76982,77218,76883,76462,75856,75371,73974,73893,73973
162,34,000,10270,00000,00000,0,A,Cape May city,New Jersey,3607,3617,3613,3587,3573,3547,3528,3506,3490,3477,3448
162,34,000,10330,00000,00000,0,A,Cape May Point borough,New Jersey,291,291,291,289,287,283,281,280,279,278,276
162,34,000,10480,00000,00000,0,A,Carlstadt borough,New Jersey,6127,6125,6127,6161,6174,6188,6188,6199,6181,6214,6191
162,34,000,10750,00000,00000,0,A,Carteret borough,New Jersey,22844,22853,22864,23597,23719,23716,23746,23733,23664,23646,23652
162,34,000,12100,00000,00000,0,A,Chatham borough,New Jersey,8962,8987,8990,9012,9005,9004,8974,8933,8897,8829,8765
162,34,000,12550,00000,00000,0,A,Chesilhurst borough,New Jersey,1634,1628,1629,1626,1624,1620,1616,1618,1621,1623,1624
162,34,000,12580,00000,00000,0,A,Chester borough,New Jersey,1649,1649,1650,1659,1660,1662,1661,1656,1653,1649,1644
162,34,000,13360,00000,00000,0,A,Clayton borough,New Jersey,8179,8185,8187,8204,8207,8208,8343,8467,8571,8641,8686
162,34,000,13420,00000,00000,0,A,Clementon borough,New Jersey,5000,4976,4968,4956,4949,4923,4902,4892,4894,4914,4945
162,34,000,13570,00000,00000,0,A,Cliffside Park borough,New Jersey,23594,23620,23672,23809,24378,24451,24479,24573,24622,24752,25935
162,34,000,13690,00000,00000,0,A,Clifton city,New Jersey,84136,84117,84172,84692,84709,84923,85177,85232,85141,85144,85273
162,34,000,13720,00000,00000,0,A,Clinton town,New Jersey,2719,2719,2717,2701,2685,2680,2669,2654,2697,2691,2683
162,34,000,13810,00000,00000,0,A,Closter borough,New Jersey,8373,8415,8425,8477,8548,8584,8593,8597,8610,8629,8582
162,34,000,14260,00000,00000,0,A,Collingswood borough,New Jersey,13926,13939,13931,13898,13865,13855,13801,13917,13924,13904,13916
162,34,000,15160,00000,00000,0,A,Corbin City city,New Jersey,492,494,494,495,496,499,497,487,495,495,493
162,34,000,15820,00000,00000,0,A,Cresskill borough,New Jersey,8573,8551,8564,8614,8639,8671,8678,8695,8681,8794,8775
162,34,000,16660,00000,00000,0,A,Deal borough,New Jersey,750,750,753,752,747,741,736,734,731,729,723
162,34,000,17530,00000,00000,0,A,Demarest borough,New Jersey,4881,4884,4919,4960,4965,4988,4981,4990,4948,4956,4933
162,34,000,18070,00000,00000,0,A,Dover town,New Jersey,18157,18157,18170,18236,18258,18274,18187,18169,18095,18038,17961
162,34,000,18400,00000,00000,0,A,Dumont borough,New Jersey,17479,17404,17424,17530,17581,17629,17656,17701,17678,17716,17697
162,34,000,18490,00000,00000,0,A,Dunellen borough,New Jersey,7227,7227,7225,7248,7270,7286,7296,7294,7273,7270,7272
162,34,000,19360,00000,00000,0,A,East Newark borough,New Jersey,2406,2445,2445,2471,2477,2674,2677,2664,2665,2662,2647
162,34,000,19390,00000,00000,0,A,East Orange city,New Jersey,64270,64169,64152,64331,64179,64237,64285,64448,64425,64367,64457
162,34,000,19510,00000,00000,0,A,East Rutherford borough,New Jersey,8913,8913,8923,8971,8987,9007,9022,9050,9748,9771,9764
162,34,000,19840,00000,00000,0,A,Eatontown borough,New Jersey,12709,12685,12459,12319,12248,12203,12179,12197,12238,12297,12242
162,34,000,20020,00000,00000,0,A,Edgewater borough,New Jersey,11513,11516,11530,11623,11659,11882,12259,11889,11913,12172,12720
162,34,000,20350,00000,00000,0,A,Egg Harbor City city,New Jersey,4243,4257,4259,4256,4239,4225,4230,4194,4147,4121,4104
162,34,000,21000,00000,00000,0,A,Elizabeth city,New Jersey,124969,124972,125262,125789,126605,127305,127698,127746,128074,128205,128885
162,34,000,21240,00000,00000,0,A,Elmer borough,New Jersey,1395,1395,1389,1382,1373,1356,1343,1333,1323,1313,1310
162,34,000,21300,00000,00000,0,A,Elmwood Park borough,New Jersey,19403,19488,19514,19625,19686,20035,20070,20113,20096,20142,20120
162,34,000,21450,00000,00000,0,A,Emerson borough,New Jersey,7401,7386,7394,7490,7520,7557,7568,7589,7588,7622,7643
162,34,000,21480,00000,00000,0,A,Englewood city,New Jersey,27147,27111,27135,27286,27669,27745,28087,28169,28136,28646,28624
162,34,000,21510,00000,00000,0,A,Englewood Cliffs borough,New Jersey,5281,5307,5321,5350,5354,5369,5368,5363,5348,5367,5385
162,34,000,21570,00000,00000,0,A,Englishtown borough,New Jersey,1847,1827,1834,1842,1927,1937,1942,1937,1931,1931,1925
162,34,000,21840,00000,00000,0,A,Essex Fells borough,New Jersey,2113,2109,2109,2145,2168,2190,2162,2135,2102,2092,2085
162,34,000,21870,00000,00000,0,A,Estell Manor city,New Jersey,1735,1748,1744,1739,1746,1744,1736,1720,1710,1709,1720
162,34,000,22440,00000,00000,0,A,Fair Haven borough,New Jersey,6121,6112,6114,6090,6071,6052,6020,5980,5954,5911,5820
162,34,000,22470,00000,00000,0,A,Fair Lawn borough,New Jersey,32457,32388,32428,32621,32761,32856,32907,33111,33074,33154,33128
162,34,000,22560,00000,00000,0,A,Fairview borough,New Jersey,13835,13830,13857,13984,14023,14129,14251,14266,14256,14298,14295
162,34,000,22860,00000,00000,0,A,Fanwood borough,New Jersey,7318,7307,7318,7346,7370,7416,7428,7563,7659,7679,7704
162,34,000,22890,00000,00000,0,A,Far Hills borough,New Jersey,919,919,920,924,924,923,921,917,915,912,911
162,34,000,22950,00000,00000,0,A,Farmingdale borough,New Jersey,1329,1324,1325,1316,1307,1306,1298,1292,1289,1289,1321
162,34,000,23250,00000,00000,0,A,Fieldsboro borough,New Jersey,540,545,543,542,539,536,537,534,530,528,539
162,34,000,23700,00000,00000,0,A,Flemington borough,New Jersey,4581,4590,4585,4742,4713,4697,4670,4645,4618,4605,4589
162,34,000,23910,00000,00000,0,A,Florham Park borough,New Jersey,11696,11736,11740,11764,11781,11770,11695,11731,11673,11653,11594
162,34,000,23940,00000,00000,0,A,Folsom borough,New Jersey,1885,1889,1887,1884,1868,1856,1844,1829,1808,1797,1792
162,34,000,24420,00000,00000,0,A,Fort Lee borough,New Jersey,35345,35402,35477,35696,35843,36179,36222,36283,37187,37329,37921
162,34,000,24930,00000,00000,0,A,Franklin borough,New Jersey,5045,5064,5062,5036,4979,4925,4895,4829,4789,4759,4738
162,34,000,24990,00000,00000,0,A,Franklin Lakes borough,New Jersey,10590,10582,10597,10674,10700,10735,10768,10755,10732,11074,11096
162,34,000,25200,00000,00000,0,A,Freehold borough,New Jersey,12052,12049,12042,12009,11968,11953,11927,11877,11849,11818,11767
162,34,000,25350,00000,00000,0,A,Frenchtown borough,New Jersey,1373,1394,1393,1431,1378,1409,1405,1403,1358,1361,1353
162,34,000,25770,00000,00000,0,A,Garfield city,New Jersey,30487,30494,30543,30714,30891,31054,31242,31413,31530,31886,31866
162,34,000,25800,00000,00000,0,A,Garwood borough,New Jersey,4226,4231,4239,4260,4276,4300,4307,4313,4333,4344,4365
162,34,000,26070,00000,00000,0,A,Gibbsboro borough,New Jersey,2274,2276,2274,2269,2263,2250,2240,2236,2234,2227,2228
162,34,000,26340,00000,00000,0,A,Glassboro borough,New Jersey,18579,18570,18571,18652,18835,18904,19018,19155,19735,19935,19992
162,34,000,26550,00000,00000,0,A,Glen Gardner borough,New Jersey,1704,1975,1976,1965,1953,1946,1937,1931,1921,1922,1912
162,34,000,26610,00000,00000,0,A,Glen Ridge borough,New Jersey,7527,7509,7509,7533,7527,7537,7567,7573,7588,7578,7598
162,34,000,26640,00000,00000,0,A,Glen Rock borough,New Jersey,11601,11584,11600,11666,11697,11744,11808,11832,11805,11846,11829
162,34,000,26820,00000,00000,0,A,Gloucester City city,New Jersey,11456,11453,11444,11418,11387,11321,11273,11253,11257,11237,11244
162,34,000,28650,00000,00000,0,A,Guttenberg town,New Jersey,11176,11181,11194,11392,11444,11537,11539,11495,11468,11392,11326
162,34,000,28680,00000,00000,0,A,Hackensack city,New Jersey,43010,43014,43059,43293,43402,43511,44185,44297,44283,44559,44522
162,34,000,28710,00000,00000,0,A,Hackettstown town,New Jersey,9724,9718,9722,9676,9610,9543,9539,9567,9506,9479,9463
162,34,000,28770,00000,00000,0,A,Haddonfield borough,New Jersey,11593,11616,11605,11578,11529,11459,11404,11364,11380,11360,11345
162,34,000,28800,00000,00000,0,A,Haddon Heights borough,New Jersey,7473,7465,7476,7470,7481,7456,7455,7458,7498,7522,7541
162,34,000,29070,00000,00000,0,A,Haledon borough,New Jersey,8318,8322,8327,8362,8351,8349,8347,8341,8323,8318,8316
162,34,000,29220,00000,00000,0,A,Hamburg borough,New Jersey,3277,3309,3309,3290,3257,3226,3201,3170,3145,3130,3124
162,34,000,29430,00000,00000,0,A,Hammonton town,New Jersey,14791,14767,14756,14713,14669,14639,14538,14396,14246,14155,14085
162,34,000,29460,00000,00000,0,A,Hampton borough,New Jersey,1401,1380,1379,1371,1362,1354,1344,1339,1331,1328,1325
162,34,000,30150,00000,00000,0,A,Harrington Park borough,New Jersey,4664,4666,4672,4708,4721,4737,4747,4765,4753,4769,4762
162,34,000,30210,00000,00000,0,A,Harrison town,New Jersey,13620,13541,13566,13742,13790,14633,14719,15160,16055,17150,17836
162,34,000,30390,00000,00000,0,A,Harvey Cedars borough,New Jersey,337,340,340,340,340,340,341,340,339,340,340
162,34,000,30420,00000,00000,0,A,Hasbrouck Heights borough,New Jersey,11842,11865,11879,11956,11991,12035,12068,12099,12076,12107,12080
162,34,000,30540,00000,00000,0,A,Haworth borough,New Jersey,3382,3376,3380,3406,3404,3419,3418,3421,3419,3436,3430
162,34,000,30570,00000,00000,0,A,Hawthorne borough,New Jersey,18791,18786,18794,18877,18856,18844,18840,18829,18782,18774,18786
162,34,000,30840,00000,00000,0,A,Helmetta borough,New Jersey,2178,2178,2178,2183,2186,2188,2190,2189,2183,2181,2182
162,34,000,31320,00000,00000,0,A,High Bridge borough,New Jersey,3648,3645,3643,3621,3596,3582,3568,3549,3542,3528,3450
162,34,000,31470,00000,00000,0,A,Highland Park borough,New Jersey,13982,13982,13981,14011,14120,14122,14140,14082,14000,13902,13869
162,34,000,31500,00000,00000,0,A,Highlands borough,New Jersey,5005,5021,5015,4999,4971,4954,4881,4835,4803,4790,4769
162,34,000,31620,00000,00000,0,A,Hightstown borough,New Jersey,5494,5523,5532,5534,5531,5535,5516,5483,5469,5307,5315
162,34,000,31920,00000,00000,0,A,Hillsdale borough,New Jersey,10219,10202,10211,10265,10336,10364,10377,10403,10393,10412,10405
162,34,000,32220,00000,00000,0,A,Hi-Nella borough,New Jersey,870,870,869,867,865,860,856,855,861,860,860
162,34,000,32250,00000,00000,0,A,Hoboken city,New Jersey,50005,50015,50054,50764,51486,52187,52480,52856,53673,53668,53455
162,34,000,32310,00000,00000,0,A,Ho-Ho-Kus borough,New Jersey,4078,4078,4080,4107,4110,4105,4114,4113,4096,4117,4107
162,34,000,32910,00000,00000,0,A,Hopatcong borough,New Jersey,15147,15140,15128,15048,14911,14759,14628,14430,14323,14251,14203
162,34,000,33150,00000,00000,0,A,Hopewell borough,New Jersey,1922,1928,1933,1936,1933,1929,1921,1913,1905,1910,1916
162,34,000,34200,00000,00000,0,A,Interlaken borough,New Jersey,820,820,819,819,814,812,806,803,798,796,792
162,34,000,34530,00000,00000,0,A,Island Heights borough,New Jersey,1673,1644,1642,1638,1632,1631,1645,1638,1643,1660,1674
162,34,000,34890,00000,00000,0,A,Jamesburg borough,New Jersey,5915,5899,5898,5911,5930,5928,5935,5940,5957,5955,5951
162,34,000,36000,00000,00000,0,A,Jersey City city,New Jersey,247597,247639,248363,252910,256148,257243,258794,260332,260626,263401,265549
162,34,000,36480,00000,00000,0,A,Keansburg borough,New Jersey,10105,10097,10091,10039,9995,9975,9825,9801,9791,9745,9719
162,34,000,36510,00000,00000,0,A,Kearny town,New Jersey,40684,40714,40718,41219,41430,41603,41681,41574,41589,41571,41422
162,34,000,36690,00000,00000,0,A,Kenilworth borough,New Jersey,7914,7914,7934,7964,8001,8072,8104,8133,8159,8182,8220
162,34,000,36810,00000,00000,0,A,Keyport borough,New Jersey,7240,7220,7220,7195,7169,7153,7121,7079,7056,7036,7053
162,34,000,37110,00000,00000,0,A,Kinnelon borough,New Jersey,10248,10134,10138,10181,10197,10217,10187,10170,10132,10103,10043
162,34,000,37560,00000,00000,0,A,Lake Como borough,New Jersey,1759,1763,1765,1756,1746,1735,1726,1718,1711,1706,1694
162,34,000,37770,00000,00000,0,A,Lakehurst borough,New Jersey,2654,2654,2654,2651,2643,2653,2687,2686,2682,2686,2700
162,34,000,38610,00000,00000,0,A,Lambertville city,New Jersey,3906,3916,3917,3897,3866,3858,3848,3833,3814,3809,3797
162,34,000,39210,00000,00000,0,A,Laurel Springs borough,New Jersey,1908,1908,1907,1902,1897,1883,1876,1872,1872,1869,1873
162,34,000,39390,00000,00000,0,A,Lavallette borough,New Jersey,1875,1875,1878,1873,1868,1845,1796,1803,1828,1841,1853
162,34,000,39420,00000,00000,0,A,Lawnside borough,New Jersey,2945,2948,2948,2941,2931,2919,2904,2901,2902,2894,2894
162,34,000,39630,00000,00000,0,A,Lebanon borough,New Jersey,1358,1358,1365,1607,1697,1691,1685,1669,1663,1663,1653
162,34,000,40020,00000,00000,0,A,Leonia borough,New Jersey,8937,8944,8955,9010,9039,9061,9074,9103,9094,9116,9110
162,34,000,40290,00000,00000,0,A,Lincoln Park borough,New Jersey,10521,10539,10545,10544,10511,10425,10426,10320,10353,10357,10246
162,34,000,40350,00000,00000,0,A,Linden city,New Jersey,40499,40525,40587,40685,40830,41056,41340,41631,42282,42395,42538
162,34,000,40440,00000,00000,0,A,Lindenwold borough,New Jersey,17613,17627,17618,17573,17521,17419,17396,17361,17363,17319,17314
162,34,000,40530,00000,00000,0,A,Linwood city,New Jersey,7092,7095,7092,7073,7050,7025,6963,6881,6818,6767,6740
162,34,000,40680,00000,00000,0,A,Little Ferry borough,New Jersey,10626,10638,10651,10720,10757,10789,10800,10832,10811,10832,10822
162,34,000,40770,00000,00000,0,A,Little Silver borough,New Jersey,5950,5952,5974,5967,5948,5935,5883,5876,5869,5865,5813
162,34,000,41010,00000,00000,0,A,Loch Arbour village,New Jersey,194,195,194,193,192,192,190,187,182,182,181
162,34,000,41100,00000,00000,0,A,Lodi borough,New Jersey,24136,24113,24146,24275,24346,24423,24447,24504,24475,24543,24551
162,34,000,41310,00000,00000,0,A,Long Branch city,New Jersey,30719,30717,30842,30744,30600,30379,30698,30734,30654,30565,30406
162,34,000,41370,00000,00000,0,A,Longport borough,New Jersey,895,895,894,889,889,880,871,873,866,864,858
162,34,000,42510,00000,00000,0,A,Madison borough,New Jersey,15845,15813,15850,15942,16001,16114,15966,15968,15940,15875,16522
162,34,000,42630,00000,00000,0,A,Magnolia borough,New Jersey,4341,4346,4345,4330,4326,4303,4285,4276,4278,4270,4275
162,34,000,43050,00000,00000,0,A,Manasquan borough,New Jersey,5897,5902,5903,5890,5882,5765,5734,5781,5819,5865,5846
162,34,000,43380,00000,00000,0,A,Mantoloking borough,New Jersey,296,294,294,291,290,259,253,250,251,256,257
162,34,000,43620,00000,00000,0,A,Manville borough,New Jersey,10344,10344,10356,10396,10401,10393,10335,10285,10293,10248,10234
162,34,000,43890,00000,00000,0,A,Margate City city,New Jersey,6354,6354,6353,6346,6315,6268,6201,6150,6071,6001,5959
162,34,000,44520,00000,00000,0,A,Matawan borough,New Jersey,8810,8845,8895,8899,8931,8914,8879,8831,8810,8806,8736
162,34,000,44880,00000,00000,0,A,Maywood borough,New Jersey,9555,9549,9553,9568,9601,9645,9657,9677,9672,9698,9694
162,34,000,45210,00000,00000,0,A,Medford Lakes borough,New Jersey,4146,4153,4155,4144,4139,4115,4093,4068,4043,4000,3947
162,34,000,45330,00000,00000,0,A,Mendham borough,New Jersey,4981,4991,4995,5012,5015,5001,4978,4960,4945,4925,4910
162,34,000,45510,00000,00000,0,A,Merchantville borough,New Jersey,3821,3785,3782,3773,3763,3742,3726,3718,3720,3713,3713
162,34,000,45690,00000,00000,0,A,Metuchen borough,New Jersey,13574,13561,13553,13597,13607,13607,13637,13624,13684,14087,14382
162,34,000,45900,00000,00000,0,A,Middlesex borough,New Jersey,13635,13635,13629,13661,13693,13688,13711,13677,13624,13611,13712
162,34,000,46110,00000,00000,0,A,Midland Park borough,New Jersey,7128,7142,7150,7192,7213,7233,7234,7252,7246,7274,7265
162,34,000,46260,00000,00000,0,A,Milford borough,New Jersey,1233,1228,1227,1218,1212,1207,1202,1198,1189,1184,1180
162,34,000,46590,00000,00000,0,A,Millstone borough,New Jersey,418,417,418,416,416,415,414,413,414,413,412
162,34,000,46620,00000,00000,0,A,Milltown borough,New Jersey,6893,6896,6894,6908,6922,6919,6925,6922,7037,7032,7034
162,34,000,46680,00000,00000,0,A,Millville city,New Jersey,28400,28417,28491,28636,28585,28519,28328,28110,27913,27721,27633
162,34,000,47130,00000,00000,0,A,Monmouth Beach borough,New Jersey,3279,3286,3277,3271,3275,3283,3235,3224,3215,3220,3228
162,34,000,47610,00000,00000,0,A,Montvale borough,New Jersey,7844,7844,7861,7946,8058,8129,8219,8337,8415,8586,8600
162,34,000,47700,00000,00000,0,A,Moonachie borough,New Jersey,2708,2690,2693,2706,2709,2722,2726,2741,2737,2743,2743
162,34,000,48210,00000,00000,0,A,Morris Plains borough,New Jersey,5532,5532,5534,5540,5586,5588,5573,5566,5545,5523,5912
162,34,000,48300,00000,00000,0,A,Morristown town,New Jersey,18411,18354,18393,18478,18505,18539,18498,18490,18903,18829,19145
162,34,000,48480,00000,00000,0,A,Mountain Lakes borough,New Jersey,4160,4167,4172,4223,4228,4257,4251,4251,4293,4297,4276
162,34,000,48510,00000,00000,0,A,Mountainside borough,New Jersey,6685,6660,6672,6716,6737,6786,6781,6793,6832,6854,6892
162,34,000,48690,00000,00000,0,A,Mount Arlington borough,New Jersey,5050,5038,5040,5064,5128,5143,5210,5232,5411,5806,5877
162,34,000,48750,00000,00000,0,A,Mount Ephraim borough,New Jersey,4676,4674,4670,4669,4658,4632,4614,4610,4602,4594,4597
162,34,000,49680,00000,00000,0,A,National Park borough,New Jersey,3036,3038,3040,3033,3017,3003,2996,2992,2976,2967,2958
162,34,000,49920,00000,00000,0,A,Neptune City borough,New Jersey,4869,4812,4809,4795,4780,4769,4742,4716,4721,4679,4645
162,34,000,50130,00000,00000,0,A,Netcong borough,New Jersey,3232,3232,3233,3240,3241,3235,3226,3219,3205,3193,3173
162,34,000,51000,00000,00000,0,A,Newark city,New Jersey,277140,277107,277158,277540,277590,278152,278991,279629,280628,281014,282090
162,34,000,51210,00000,00000,0,A,New Brunswick city,New Jersey,55181,54500,54887,55294,55412,55907,55899,56033,56215,56145,56100
162,34,000,51390,00000,00000,0,A,Newfield borough,New Jersey,1553,1589,1589,1584,1577,1572,1568,1564,1559,1554,1549
162,34,000,51660,00000,00000,0,A,New Milford borough,New Jersey,16341,16343,16362,16449,16497,16534,16540,16597,16579,16607,16558
162,34,000,51810,00000,00000,0,A,New Providence borough,New Jersey,12171,12199,12217,12247,12282,12313,12341,12374,12716,13114,13486
162,34,000,51930,00000,00000,0,A,Newton town,New Jersey,7997,8121,8115,8064,8087,8007,7934,7933,7875,7812,7938
162,34,000,52320,00000,00000,0,A,North Arlington borough,New Jersey,15392,15392,15412,15534,15598,15641,15664,15706,15693,15756,15741
162,34,000,52620,00000,00000,0,A,North Caldwell borough,New Jersey,6183,6175,6178,6199,6259,6355,6548,6621,6627,6622,6618
162,34,000,52950,00000,00000,0,A,Northfield city,New Jersey,8624,8621,8612,8607,8586,8552,8486,8403,8312,8246,8212
162,34,000,53040,00000,00000,0,A,North Haledon borough,New Jersey,8417,8422,8429,8475,8504,8475,8452,8452,8460,8456,8418
162,34,000,53280,00000,00000,0,A,North Plainfield borough,New Jersey,21936,21777,21797,21840,21855,21823,21768,21675,21629,21559,21535
162,34,000,53430,00000,00000,0,A,Northvale borough,New Jersey,4640,4623,4634,4667,4684,4731,4732,4782,4871,4898,4923
162,34,000,53490,00000,00000,0,A,North Wildwood city,New Jersey,4041,4038,4034,3996,3978,3939,3909,3876,3849,3826,3792
162,34,000,53610,00000,00000,0,A,Norwood borough,New Jersey,5711,5732,5738,5765,5787,5795,5802,5820,5810,5820,5831
162,34,000,53850,00000,00000,0,A,Oakland borough,New Jersey,12754,12755,12773,12838,12884,12930,12963,13004,12988,13018,13021
162,34,000,53880,00000,00000,0,A,Oaklyn borough,New Jersey,4038,4038,4035,4026,4015,3991,3975,3967,3968,3961,3963
162,34,000,54360,00000,00000,0,A,Ocean City city,New Jersey,11701,11702,11698,11603,11551,11417,11329,11284,11247,11163,11041
162,34,000,54450,00000,00000,0,A,Ocean Gate borough,New Jersey,2011,2003,2000,2006,1998,1992,1994,1992,2003,2012,2026
162,34,000,54570,00000,00000,0,A,Oceanport borough,New Jersey,5832,5832,5848,5844,5818,5782,5738,5706,5705,5719,5751
162,34,000,54660,00000,00000,0,A,Ogdensburg borough,New Jersey,2410,2426,2427,2414,2391,2365,2343,2313,2284,2275,2266
162,34,000,54870,00000,00000,0,A,Old Tappan borough,New Jersey,5750,5744,5745,5811,5834,5876,5896,5935,5930,5940,5946
